timestamp,U,max_voltage_V,current_mA,pos_rad,vel_rads
10818,0,12.35,9.00,0.00,0.00
10843,0,12.35,9.00,0.00,0.00
10868,0,12.35,10.00,0.00,0.00
10893,0,12.35,10.00,0.00,0.00
10918,0,12.35,9.00,0.00,0.00
10943,0,12.35,10.00,0.00,0.00
10968,0,12.35,8.00,0.00,0.00
10993,0,12.35,9.00,0.00,0.00
11018,0,12.35,10.00,0.00,0.00
11043,0,12.35,10.00,0.00,0.00
11068,0,12.35,8.00,0.00,0.00
11093,0,12.35,10.00,0.00,0.00
11118,0,12.35,9.00,0.00,0.00
11143,0,12.35,9.00,0.00,0.00
11168,0,12.35,9.00,0.00,0.00
11193,0,12.35,10.00,0.00,0.00
11218,0,12.35,10.00,0.00,0.00
11243,0,12.35,9.00,0.00,0.00
11268,0,12.35,9.00,0.00,0.00
11293,0,12.35,10.00,0.00,0.00
11318,0,12.35,9.00,0.00,0.00
11343,0,12.35,9.00,0.00,0.00
11368,0,12.35,8.00,0.00,0.00
11393,0,12.35,9.00,0.00,0.00
11418,0,12.35,10.00,0.00,0.00
11443,0,12.35,9.00,0.00,0.00
11468,0,12.35,8.00,0.00,0.00
11493,0,12.35,9.00,0.00,0.00
11518,0,12.35,10.00,0.00,0.00
11543,0,12.35,9.00,0.00,0.00
11568,0,12.35,10.00,0.00,0.00
11593,0,12.35,9.00,0.00,0.00
11618,0,12.35,10.00,0.00,0.00
11643,0,12.35,9.00,0.00,0.00
11668,0,12.35,10.00,0.00,0.00
11693,0,12.35,10.00,0.00,0.00
11718,0,12.35,9.00,0.00,0.00
11743,0,12.35,9.00,0.00,0.00
11768,0,12.35,10.00,0.00,0.00
11793,0,12.35,10.00,0.00,0.00
11818,0,12.35,8.00,0.00,0.00
11843,0,12.35,9.00,0.00,0.00
11868,0,12.35,8.00,0.00,0.00
11893,0,12.35,9.00,0.00,0.00
11918,0,12.35,8.00,0.00,0.00
11943,0,12.35,9.00,0.00,0.00
11968,0,12.35,9.00,0.00,0.00
11993,0,12.35,10.00,0.00,0.00
12018,0,12.35,9.00,0.00,0.00
12043,0,12.35,8.00,0.00,0.00
12068,0,12.35,10.00,0.00,0.00
12093,0,12.35,9.00,0.00,0.00
12118,0,12.35,9.00,0.00,0.00
12143,0,12.35,8.00,0.00,0.00
12168,0,12.35,9.00,0.00,0.00
12193,0,12.35,10.00,0.00,0.00
12218,0,12.35,10.00,0.00,0.00
12243,0,12.35,10.00,0.00,0.00
12268,0,12.35,9.00,0.00,0.00
12293,0,12.35,10.00,0.00,0.00
12318,0,12.35,8.00,0.00,0.00
12343,0,12.35,9.00,0.00,0.00
12368,0,12.35,10.00,0.00,0.00
12393,0,12.35,10.00,0.00,0.00
12418,0,12.35,10.00,0.00,0.00
12443,0,12.35,8.00,0.00,0.00
12468,0,12.35,9.00,0.00,0.00
12493,0,12.35,10.00,0.00,0.00
12518,0,12.35,10.00,0.00,0.00
12543,0,12.35,8.00,0.00,0.00
12568,0,12.35,9.00,0.00,0.00
12593,0,12.35,9.00,0.00,0.00
12618,0,12.35,10.00,0.00,0.00
12643,0,12.35,9.00,0.00,0.00
12668,0,12.35,10.00,0.00,0.00
12693,0,12.35,9.00,0.00,0.00
12718,0,12.35,9.00,0.00,0.00
12743,0,12.35,10.00,0.00,0.00
12768,0,12.35,10.00,0.00,0.00
12793,0,12.35,10.00,0.00,0.00
12818,0,12.35,8.00,0.00,0.00
12843,0,12.35,9.00,0.00,0.00
12868,0,12.35,10.00,0.00,0.00
12893,0,12.35,9.00,0.00,0.00
12918,0,12.35,9.00,0.00,0.00
12943,0,12.35,8.00,0.00,0.00
12968,0,12.35,9.00,0.00,0.00
12993,0,12.35,9.00,0.00,0.00
13018,0,12.35,10.00,0.00,0.00
13043,0,12.35,10.00,0.00,0.00
13068,0,12.35,9.00,0.00,0.00
13093,0,12.35,10.00,0.00,0.00
13118,0,12.35,9.00,0.00,0.00
13143,0,12.35,9.00,0.00,0.00
13168,0,12.35,9.00,0.00,0.00
13193,0,12.35,10.00,0.00,0.00
13218,0,12.35,8.00,0.00,0.00
13243,0,12.35,9.00,0.00,0.00
13268,0,12.35,9.00,0.00,0.00
13293,0,12.35,9.00,0.00,0.00
13318,0,12.35,10.00,0.00,0.00
13343,0,12.35,9.00,0.00,0.00
13368,0,12.35,9.00,0.00,0.00
13393,0,12.35,8.00,0.00,0.00
13418,0,12.35,10.00,0.00,0.00
13443,0,12.35,10.00,0.00,0.00
13468,0,12.35,10.00,0.00,0.00
13493,0,12.35,9.00,0.00,0.00
13518,0,12.35,9.00,0.00,0.00
13543,0,12.35,9.00,0.00,0.00
13568,0,12.35,10.00,0.00,0.00
13593,0,12.35,10.00,0.00,0.00
13618,0,12.35,8.00,0.00,0.00
13643,0,12.35,9.00,0.00,0.00
13668,0,12.35,10.00,0.00,0.00
13693,0,12.35,9.00,0.00,0.00
13718,0,12.35,7.00,0.00,0.00
13743,0,12.35,9.00,0.00,0.00
13768,0,12.35,10.00,0.00,0.00
13793,0,12.35,9.00,0.00,0.00
13818,0,12.35,9.00,0.00,0.00
13843,0,12.35,10.00,0.00,0.00
13868,0,12.35,10.00,0.00,0.00
13893,0,12.35,8.00,0.00,0.00
13918,0,12.35,10.00,0.00,0.00
13943,0,12.35,9.00,0.00,0.00
13968,0,12.35,9.00,0.00,0.00
13993,0,12.35,10.00,0.00,0.00
14018,0,12.35,8.00,0.00,0.00
14043,0,12.35,10.00,0.00,0.00
14068,0,12.35,10.00,0.00,0.00
14093,0,12.35,9.00,0.00,0.00
14118,0,12.35,9.00,0.00,0.00
14143,0,12.35,9.00,0.00,0.00
14168,0,12.35,10.00,0.00,0.00
14193,0,12.35,9.00,0.00,0.00
14218,0,12.35,9.00,0.00,0.00
14243,0,12.35,9.00,0.00,0.00
14268,0,12.35,9.00,0.00,0.00
14293,0,12.35,8.00,0.00,0.00
14318,0,12.35,10.00,0.00,0.00
14343,0,12.35,10.00,0.00,0.00
14368,0,12.35,10.00,0.00,0.00
14393,0,12.35,10.00,0.00,0.00
14418,0,12.35,9.00,0.00,0.00
14443,0,12.35,10.00,0.00,0.00
14468,0,12.35,8.00,0.00,0.00
14493,0,12.35,10.00,0.00,0.00
14518,0,12.35,9.00,0.00,0.00
14543,0,12.35,9.00,0.00,0.00
14568,0,12.35,10.00,0.00,0.00
14593,0,12.35,9.00,0.00,0.00
14618,0,12.35,9.00,0.00,0.00
14643,0,12.35,10.00,0.00,0.00
14668,0,12.35,9.00,0.00,0.00
14693,0,12.35,8.00,0.00,0.00
14718,0,12.35,9.00,0.00,0.00
14743,0,12.35,9.00,0.00,0.00
14768,0,12.35,8.00,0.00,0.00
14793,0,12.35,8.00,0.00,0.00
14818,0,12.35,9.00,0.00,0.00
14843,0,12.35,10.00,0.00,0.00
14868,0,12.35,8.00,0.00,0.00
14893,0,12.35,10.00,0.00,0.00
14918,0,12.35,10.00,0.00,0.00
14943,0,12.35,9.00,0.00,0.00
14968,0,12.35,9.00,0.00,0.00
14993,0,12.35,10.00,0.00,0.00
15018,0,12.35,10.00,0.00,0.00
15043,0,12.35,9.00,0.00,0.00
15068,0,12.35,10.00,0.00,0.00
15093,0,12.35,8.00,0.00,0.00
15118,0,12.35,10.00,0.00,0.00
15143,0,12.35,9.00,0.00,0.00
15168,0,12.35,9.00,0.00,0.00
15193,0,12.35,9.00,0.00,0.00
15218,0,12.35,10.00,0.00,0.00
15243,0,12.35,9.00,0.00,0.00
15268,0,12.35,8.00,0.00,0.00
15293,0,12.35,9.00,0.00,0.00
15318,0,12.35,9.00,0.00,0.00
15343,0,12.35,9.00,0.00,0.00
15368,0,12.35,8.00,0.00,0.00
15393,0,12.35,9.00,0.00,0.00
15418,0,12.35,9.00,0.00,0.00
15443,0,12.35,10.00,0.00,0.00
15468,0,12.35,9.00,0.00,0.00
15493,0,12.35,8.00,0.00,0.00
15518,0,12.35,9.00,0.00,0.00
15543,0,12.35,9.00,0.00,0.00
15568,0,12.35,10.00,0.00,0.00
15593,0,12.35,9.00,0.00,0.00
15618,0,12.35,10.00,0.00,0.00
15643,0,12.35,9.00,0.00,0.00
15668,0,12.35,8.00,0.00,0.00
15693,0,12.35,10.00,0.00,0.00
15718,0,12.35,10.00,0.00,0.00
15743,0,12.35,10.00,0.00,0.00
15768,0,12.35,8.00,0.00,0.00
15793,0,12.35,9.00,0.00,0.00
15818,0,12.35,10.00,0.00,0.00
15843,0,12.35,10.00,0.00,0.00
15868,0,12.35,9.00,0.00,0.00
15893,0,12.35,9.00,0.00,0.00
15918,0,12.35,10.00,0.00,0.00
15943,0,12.35,9.00,0.00,0.00
15968,0,12.35,10.00,0.00,0.00
15993,0,12.35,10.00,0.00,0.00
16018,0,12.35,10.00,0.00,0.00
16043,0,12.35,9.00,0.00,0.00
16068,0,12.35,8.00,0.00,0.00
16093,0,12.35,10.00,0.00,0.00
16118,0,12.35,11.00,0.00,0.00
16143,0,12.35,9.00,0.00,0.00
16168,0,12.35,8.00,0.00,0.00
16193,0,12.35,10.00,0.00,0.00
16218,0,12.35,10.00,0.00,0.00
16243,0,12.35,10.00,0.00,0.00
16268,0,12.35,8.00,0.00,0.00
16293,0,12.35,10.00,0.00,0.00
16318,0,12.35,9.00,0.00,0.00
16343,0,12.35,8.00,0.00,0.00
16368,0,12.35,10.00,0.00,0.00
16393,0,12.35,8.00,0.00,0.00
16418,0,12.35,9.00,0.00,0.00
16443,0,12.35,8.00,0.00,0.00
16468,0,12.35,9.00,0.00,0.00
16493,0,12.35,9.00,0.00,0.00
16518,0,12.35,9.00,0.00,0.00
16543,0,12.35,9.00,0.00,0.00
16568,0,12.35,9.00,0.00,0.00
16593,0,12.35,10.00,0.00,0.00
16618,0,12.35,9.00,0.00,0.00
16643,0,12.35,10.00,0.00,0.00
16668,0,12.35,7.00,0.00,0.00
16693,0,12.35,11.00,0.00,0.00
16718,0,12.35,9.00,0.00,0.00
16743,0,12.35,8.00,0.00,0.00
16768,0,12.35,9.00,0.00,0.00
16793,0,12.35,10.00,0.00,0.00
16818,512,12.35,9.00,0.00,0.00
16843,512,12.35,82.00,0.01,0.28
16868,512,12.35,55.00,0.03,0.95
16893,512,12.35,48.00,0.06,1.18
16918,512,12.35,41.00,0.10,1.46
16943,512,12.35,47.00,0.13,1.51
16968,512,12.35,34.00,0.17,1.57
16993,512,12.35,36.00,0.22,1.74
17018,512,12.35,41.00,0.26,1.63
17043,512,12.35,45.00,0.30,1.74
17068,512,12.35,33.00,0.35,1.74
17093,512,12.35,33.00,0.39,1.68
17118,512,12.35,36.00,0.43,1.80
17143,512,12.35,39.00,0.47,1.68
