timestamp,U,max_voltage_V,current_mA,pos_rad,vel_rads
10819,0,12.35,9.00,0.00,0.00
10844,0,12.35,10.00,0.00,0.00
10869,0,12.35,10.00,0.00,0.00
10894,0,12.35,9.00,0.00,0.00
10919,0,12.35,10.00,0.00,0.00
10944,0,12.35,8.00,0.00,0.00
10969,0,12.35,9.00,0.00,0.00
10994,0,12.35,10.00,0.00,0.00
11019,0,12.35,9.00,0.00,0.00
11044,0,12.35,8.00,0.00,0.00
11069,0,12.35,10.00,0.00,0.00
11094,0,12.35,10.00,0.00,0.00
11119,0,12.35,8.00,0.00,0.00
11144,0,12.35,10.00,0.00,0.00
11169,0,12.35,10.00,0.00,0.00
11194,0,12.35,10.00,0.00,0.00
11219,0,12.35,8.00,0.00,0.00
11244,0,12.35,10.00,0.00,0.00
11269,0,12.35,8.00,0.00,0.00
11294,0,12.35,10.00,0.00,0.00
11319,0,12.35,10.00,0.00,0.00
11344,0,12.35,9.00,0.00,0.00
11369,0,12.35,8.00,0.00,0.00
11394,0,12.35,10.00,0.00,0.00
11419,0,12.35,10.00,0.00,0.00
11444,0,12.35,10.00,0.00,0.00
11469,0,12.35,9.00,0.00,0.00
11494,0,12.35,9.00,0.00,0.00
11519,0,12.35,9.00,0.00,0.00
11544,0,12.35,8.00,0.00,0.00
11569,0,12.35,9.00,0.00,0.00
11594,0,12.35,10.00,0.00,0.00
11619,0,12.35,9.00,0.00,0.00
11644,0,12.35,10.00,0.00,0.00
11669,0,12.35,9.00,0.00,0.00
11694,0,12.35,9.00,0.00,0.00
11719,0,12.35,10.00,0.00,0.00
11744,0,12.35,10.00,0.00,0.00
11769,0,12.35,9.00,0.00,0.00
11794,0,12.35,8.00,0.00,0.00
11819,0,12.35,9.00,0.00,0.00
11844,0,12.35,10.00,0.00,0.00
11869,0,12.35,10.00,0.00,0.00
11894,0,12.35,10.00,0.00,0.00
11919,0,12.35,10.00,0.00,0.00
11944,0,12.35,9.00,0.00,0.00
11969,0,12.35,10.00,0.00,0.00
11994,0,12.35,10.00,0.00,0.00
12019,0,12.35,8.00,0.00,0.00
12044,0,12.35,9.00,0.00,0.00
12069,0,12.35,9.00,0.00,0.00
12094,0,12.35,10.00,0.00,0.00
12119,0,12.35,8.00,0.00,0.00
12144,0,12.35,10.00,0.00,0.00
12169,0,12.35,10.00,0.00,0.00
12194,0,12.35,10.00,0.00,0.00
12219,0,12.35,9.00,0.00,0.00
12244,0,12.35,9.00,0.00,0.00
12269,0,12.35,10.00,0.00,0.00
12294,0,12.35,9.00,0.00,0.00
12319,0,12.35,10.00,0.00,0.00
12344,0,12.35,10.00,0.00,0.00
12369,0,12.35,10.00,0.00,0.00
12394,0,12.35,10.00,0.00,0.00
12419,0,12.35,10.00,0.00,0.00
12444,0,12.35,8.00,0.00,0.00
12469,0,12.35,10.00,0.00,0.00
12494,0,12.35,11.00,0.00,0.00
12519,0,12.35,9.00,0.00,0.00
12544,0,12.35,9.00,0.00,0.00
12569,0,12.35,11.00,0.00,0.00
12594,0,12.35,9.00,0.00,0.00
12619,0,12.35,9.00,0.00,0.00
12644,0,12.35,10.00,0.00,0.00
12669,0,12.35,10.00,0.00,0.00
12694,0,12.35,10.00,0.00,0.00
12719,0,12.35,9.00,0.00,0.00
12744,0,12.35,10.00,0.00,0.00
12769,0,12.35,9.00,0.00,0.00
12794,0,12.35,10.00,0.00,0.00
12819,-2,12.35,10.00,0.00,0.00
12844,-2,12.35,9.00,0.00,0.00
12869,-2,12.35,8.00,0.00,0.00
12894,-2,12.35,10.00,0.00,0.00
12919,-2,12.35,10.00,0.00,0.00
12944,-2,12.35,10.00,0.00,0.00
12969,-2,12.35,8.00,0.00,0.00
12994,-2,12.35,9.00,0.00,0.00
13019,-2,12.35,10.00,0.00,0.00
13044,-2,12.35,9.00,0.00,0.00
13069,-2,12.35,10.00,0.00,0.00
13094,-2,12.35,9.00,0.00,0.00
13119,-2,12.35,9.00,0.00,0.00
13144,-2,12.35,10.00,0.00,0.00
13169,-2,12.35,9.00,0.00,0.00
13194,-2,12.35,8.00,0.00,0.00
13219,-2,12.35,9.00,0.00,0.00
13244,-2,12.35,9.00,0.00,0.00
13269,-2,12.35,10.00,0.00,0.00
13294,-2,12.35,8.00,0.00,0.00
13319,-2,12.35,10.00,0.00,0.00
13344,-2,12.35,9.00,0.00,0.00
13369,-2,12.35,9.00,0.00,0.00
13394,-2,12.35,8.00,0.00,0.00
13419,-2,12.35,10.00,0.00,0.00
13444,-2,12.35,10.00,0.00,0.00
13469,-2,12.35,10.00,0.00,0.00
13494,-2,12.35,10.00,0.00,0.00
13519,-2,12.35,10.00,0.00,0.00
13544,-2,12.35,8.00,0.00,0.00
13569,-2,12.35,9.00,0.00,0.00
13594,-2,12.35,9.00,0.00,0.00
13619,-2,12.35,9.00,0.00,0.00
13644,-2,12.35,10.00,0.00,0.00
13669,-2,12.35,9.00,0.00,0.00
13694,-2,12.35,10.00,0.00,0.00
13719,-2,12.35,9.00,0.00,0.00
13744,-2,12.35,9.00,0.00,0.00
13769,-2,12.35,10.00,0.00,0.00
13794,-2,12.35,10.00,0.00,0.00
13819,-6,12.35,10.00,0.00,0.00
13844,-6,12.35,11.00,0.00,0.00
13869,-6,12.35,12.00,0.00,0.00
13894,-6,12.35,11.00,0.00,0.00
13919,-6,12.35,11.00,0.00,0.00
13944,-6,12.35,10.00,0.00,0.00
13969,-6,12.35,9.00,0.00,0.00
13994,-6,12.35,11.00,0.00,0.00
14019,-6,12.35,11.00,0.00,0.00
14044,-6,12.35,11.00,0.00,0.00
14069,-6,12.35,11.00,0.00,0.00
14094,-6,12.35,11.00,0.00,0.00
14119,-6,12.35,11.00,0.00,0.00
14144,-6,12.35,11.00,0.00,0.00
14169,-6,12.35,12.00,0.00,0.00
14194,-6,12.35,11.00,0.00,0.00
14219,-6,12.35,12.00,0.00,0.00
14244,-6,12.35,11.00,0.00,0.00
14269,-6,12.35,11.00,0.00,0.00
14294,-6,12.35,11.00,0.00,0.00
14319,-6,12.35,12.00,0.00,0.00
14344,-6,12.35,11.00,0.00,0.00
14369,-6,12.35,12.00,0.00,0.00
14394,-6,12.35,10.00,0.00,0.00
14419,-6,12.35,10.00,0.00,0.00
14444,-6,12.35,11.00,0.00,0.00
14469,-6,12.35,11.00,0.00,0.00
14494,-6,12.35,11.00,0.00,0.00
14519,-6,12.35,11.00,0.00,0.00
14544,-6,12.35,10.00,0.00,0.00
14569,-6,12.35,10.00,0.00,0.00
14594,-6,12.35,9.00,0.00,0.00
14619,-6,12.35,10.00,0.00,0.00
14644,-6,12.35,11.00,0.00,0.00
14669,-6,12.35,10.00,0.00,0.00
14694,-6,12.35,12.00,0.00,0.00
14719,-6,12.35,10.00,0.00,0.00
14744,-6,12.35,11.00,0.00,0.00
14769,-6,12.35,12.00,0.00,0.00
14794,-6,12.35,11.00,0.00,0.00
14819,-14,12.35,10.00,0.00,0.00
14844,-14,12.35,10.00,0.00,0.00
14869,-14,12.35,10.00,0.00,0.00
14894,-14,12.35,11.00,0.00,0.00
14919,-14,12.35,11.00,0.00,0.00
14944,-14,12.35,11.00,0.00,0.00
14969,-14,12.35,12.00,0.00,0.00
14994,-14,12.35,12.00,0.00,0.00
15019,-14,12.35,10.00,0.00,0.00
15044,-14,12.35,11.00,0.00,0.00
15069,-14,12.35,11.00,0.00,0.00
15094,-14,12.35,9.00,0.00,0.00
15119,-14,12.35,10.00,0.00,0.00
15144,-14,12.35,10.00,0.00,0.00
15169,-14,12.35,11.00,0.00,0.00
15194,-14,12.35,11.00,0.00,0.00
15219,-14,12.35,11.00,0.00,0.00
15244,-14,12.35,12.00,0.00,0.00
15269,-14,12.35,11.00,0.00,0.00
15294,-14,12.35,12.00,0.00,0.00
15319,-14,12.35,11.00,0.00,0.00
15344,-14,12.35,11.00,0.00,0.00
15369,-14,12.35,10.00,0.00,0.00
15394,-14,12.35,10.00,0.00,0.00
15419,-14,12.35,10.00,0.00,0.00
15444,-14,12.35,9.00,0.00,0.00
15469,-14,12.35,11.00,0.00,0.00
15494,-14,12.35,12.00,0.00,0.00
15519,-14,12.35,11.00,0.00,0.00
15544,-14,12.35,10.00,0.00,0.00
15569,-14,12.35,11.00,0.00,0.00
15594,-14,12.35,11.00,0.00,0.00
15619,-14,12.35,12.00,0.00,0.00
15644,-14,12.35,11.00,0.00,0.00
15669,-14,12.35,10.00,0.00,0.00
15694,-14,12.35,12.00,0.00,0.00
15719,-14,12.35,10.00,0.00,0.00
15744,-14,12.35,11.00,0.00,0.00
15769,-14,12.35,12.00,0.00,0.00
15794,-14,12.35,11.00,0.00,0.00
15819,-26,12.35,10.00,0.00,0.00
15844,-26,12.35,11.00,0.00,0.00
15869,-26,12.35,11.00,0.00,0.00
15894,-26,12.35,10.00,0.00,0.00
15919,-26,12.35,12.00,0.00,0.00
15944,-26,12.35,11.00,0.00,0.00
15969,-26,12.35,12.00,0.00,0.00
15994,-26,12.35,12.00,0.00,0.00
16019,-26,12.35,12.00,0.00,0.00
16044,-26,12.35,11.00,0.00,0.00
16069,-26,12.35,10.00,0.00,0.00
16094,-26,12.35,11.00,0.00,0.00
16119,-26,12.35,11.00,0.00,0.00
16144,-26,12.35,10.00,0.00,0.00
16169,-26,12.35,12.00,0.00,0.00
